Post Code,Borough,Neighbourhood,Longitude,Latitude
4169,Brisbane Inner City,"EAST BRISBANE, KANGAROO POINT, STANLEY BRIDGE",153.040982,-27.484177
4170,Brisbane Inner City,"CANNON HILL, COLMSLIE, MORNINGSIDE, NORMAN PARK, SEVEN HILLS",153.074231,-27.470778
4171,Brisbane Inner City,"BALMORAL, BULIMBA, GALLOWAYS HILL, HAWTHORNE",153.06036,-27.456031
4172,Brisbane Inner City,MURARRIE,153.103331,-27.458767
4173,Brisbane - East,"TINGALPA, TINGALPA BC",153.120634,-27.475814
4174,Brisbane - East,"DOBOY, HEMMANT",153.129424,-27.450089
4178,Brisbane - East,"LINDUM, LYTTON, PORT OF BRISBANE, WYNNUM, WYNNUM CENTRAL, WYNNUM NORTH, WYNNUM PLAZA, WYNNUM WEST",153.232567,-27.425651
4179,Brisbane - East,"LOTA, MANLY, MANLY WEST",153.234041,-27.390823
4183,Brisbane - East,"AMITY, AMITY POINT, DUNWICH, NORTH STRADBROKE ISLAND, POINT LOOKOUT",153.451696,-27.545157
4184,Brisbane - East,"COOCHIEMUDLO ISLAND, KARRAGARRA ISLAND, LAMB ISLAND, MACLEAY ISLAND, PEEL ISLAND, PERULPA ISLAND, RUSSELL ISLAND",153.384655,-27.676499
