Post Code,Borough,Neighbourhood,Longitude,Latitude
4030,Brisbane Inner City,WOOLOOWIN,153.029681,-27.42687
4031,Brisbane Inner City,GLEN KEDRON,153.030695,-27.408542
4031,Brisbane Inner City,GORDON PARK,153.030695,-27.408542
4031,Brisbane Inner City,KEDRON,153.030695,-27.408542
4032,Brisbane - North,CHERMSIDE,153.019449,-27.385605
4032,Brisbane - North,CHERMSIDE BC,153.019449,-27.385605
4032,Brisbane - North,CHERMSIDE CENTRE,153.019449,-27.385605
4032,Brisbane - North,CHERMSIDE SOUTH,153.019449,-27.385605
4032,Brisbane - North,CHERMSIDE WEST,153.019449,-27.385605
4032,Brisbane - North,CRAIGSLEA,153.019449,-27.385605
4034,Brisbane - North,ASPLEY,153.040051,-27.354711
4034,Brisbane - North,BOONDALL,153.040051,-27.354711
4034,Brisbane - North,CARSELDINE,153.040051,-27.354711
4034,Brisbane - North,GEEBUNG,153.040051,-27.354711
4034,Brisbane - North,ZILLMERE,153.040051,-27.354711
4035,Moreton Bay - South,ALBANY CREEK,152.979085,-27.356025
4035,Moreton Bay - South,BRIDGEMAN DOWNS,152.979085,-27.356025
4035,Moreton Bay - South,CASHS CROSSING,152.979085,-27.356025
4036,Brisbane - North,BALD HILLS,153.008731,-27.314022
4037,Moreton Bay - South,EATONS HILL,152.936519,-27.341128
4051,Brisbane Inner City,ALDERLEY,153.000297,-27.427508
4051,Brisbane Inner City,ENOGGERA,153.000297,-27.427508
4051,Brisbane Inner City,GAYTHORNE,153.000297,-27.427508
4051,Brisbane Inner City,GRANGE,153.000297,-27.427508
4051,Brisbane Inner City,NEWMARKET,153.000297,-27.427508
4051,Brisbane Inner City,THE GRANGE,153.000297,-27.427508
4051,Brisbane Inner City,WILSTON,153.000297,-27.427508
4053,Moreton Bay - South,BROOKSIDE CENTRE,152.98725,-27.399573
4053,Moreton Bay - South,EVERTON HILLS,152.98725,-27.399573
4053,Moreton Bay - South,EVERTON PARK,152.98725,-27.399573
4053,Moreton Bay - South,MCDOWALL,152.98725,-27.399573
4053,Moreton Bay - South,MITCHELTON,152.98725,-27.399573
4053,Moreton Bay - South,OXFORD PARK,152.98725,-27.399573
4053,Moreton Bay - South,SOMERSET HILLS,152.98725,-27.399573
4053,Moreton Bay - South,STAFFORD,152.98725,-27.399573
4053,Moreton Bay - South,STAFFORD BC,152.98725,-27.399573
4053,Moreton Bay - South,STAFFORD CITY,152.98725,-27.399573
4053,Moreton Bay - South,STAFFORD DC,152.98725,-27.399573
4053,Moreton Bay - South,STAFFORD HEIGHTS,152.98725,-27.399573
